quote,author,category,escola
Be careful what you water your dreams with. Water them with worry and fear and you will produce weeds that choke the life from your dream. Water them with optimism and solutions and you will cultivate success. Always be on the lookout for ways to turn a problem into an opportunity for success. Always be on the lookout for ways to nurture your dream.,Lao Tzu,dreams,Taoismo
Don't be pushed by your problems. Be led by your dreams.,Ralph Waldo Emerson,"dreams, inspirational",Transcendentalismo
Judge of your natural character by what you do in your dreams.,Ralph Waldo Emerson,dreams,Transcendentalismo
People demand freedom of speech as a compensation for the freedom of thought which they seldom use.,Søren Kierkegaard,"civil-rights, free-speech, free-will, freedom, intelligence, liberty, stupidity",Existencialismo Cristão
Freedom is what we do with what is done to us.,Jean-Paul Sartre,"freedom, life-experience, self-determination",Existencialismo
Better to die on one's feet than to live on one's knees.,Jean-Paul Sartre,freedom,Existencialismo
He who is brave is free,Seneca,"bravery, courage, freedom, gallantry",Estoicismo
"How absurd men are! They never use the liberties they have, they demand those they do not have. They have freedom of thought, they demand freedom of speech.",Søren Kierkegaard,freedom,Existencialismo Cristão
When the tyrant has disposed of foreign enemies by conquest or treaty and there is nothing to fear from them then he is always stirring up some wary or other in order that the people may require a leader.,Plato,"freedom, history, liberty, politics",Platonismo
"Democracy arose from men's thinking that if they are equal in any respect, they are equal absolutely.",Aristotle,"democracy, equality, freedom",Peripatético / Aristotelismo
"A human being who wakened in the morning with a queesy stomach, with fifteen hours to kill before next bedtime, had not much use for freedom.",Jean-Paul Sartre,freedom,Existencialismo
"What you shun enduring yourself, attempt not to impose on others. You shun slavery- beware enslaving others! If you can endure to do that, one would think you had been once upon a time a slave yourself. For vice has nothing in common with virtue, nor Freedom with slavery. ",Epictetus,"freedom, morality",Estoicismo
"For what avail the plough or sail, or land or life, if freedom fail?",Ralph Waldo Emerson,"freedom, inspirational, ralph-waldo-emerson",Transcendentalismo
"Outside, among your fellows, among strangers, you must perceive appearances, a hundred things you cannot do; but inside, the terrible freedom!",Ralph Waldo Emerson,freedom,Transcendentalismo
"There are two ways to go to the gas chamber, free and not free.",Jean-Paul Sartre,"death, existentialism, freedom, life",Existencialismo
"Freedom is alone the unoriginated birthright of man, and belongs to him by force of his humanity; and is independent of the will and co-action of every other…",Immanuel Kant,"freedom, human-rights, humanity, independence",Idealismo Transcendental
"Today as always, men fall into two groups: slaves and free men. Whoever does not have two-thirds of his day for himself, is a slave, whatever he may be: a statesman, a businessman, an official, or a scholar.",Friedrich Nietzsche,"humour, men, slavery, slaves",Niilismo / Existencialismo (precursor)
"Most men are not wicked... They are sleep-walkers, not evil evildoers.",Franz Kafka,"humour, philosophical, satire",Existencialismo (influência) / Absurdo
I don't want to be a genius-I have enough problems just trying to be a man.,Albert Camus,"genius, humanity, humour, man, problems",Existencialismo / Absurdismo
"There is nothing we can now call our own, for what we call so is the effect of art; crimes are made by decrees of the senate, or by the votes of the people; and as here-to-fore we are burdened by vices, so now we are oppressed by laws.",Blaise Pascal,"humour, inspirational, philosphical, political",Jansenismo / Existencialismo Cristão (precursor)
"philosophy is not suited for the masses, what they need is holiness.",Friedrich Nietzsche,"humour, philosophical",Niilismo / Existencialismo (precursor)
The price of apathy towards public affairs is to be ruled by evil men.,Plato,politics,Platonismo
He who is to be a good ruler must have first been ruled,Aristotle,politics,Peripatético / Aristotelismo
Don't let them tell us stories,Albert Camus,politics,Existencialismo / Absurdismo
Beauty is the virtue of the body as virtue is the beauty of the soul,Ralph Waldo Emerson,"beauty, body, history, politics, soul",Transcendentalismo
"Every time I hear a political speech or I read those of our leaders, I am horrified at having, for years, heard nothing which sounded human. It is always the same words telling the same lies.",Albert Camus,"current-events, nothing-ever-changes, politics, the-sad-truth",Existencialismo / Absurdismo
"They deem him their worst enemy who tells them the truth. -Plato, philosopher (427-347 BCE)",Plato,"and-everything, humanity, humor, life, politics, society, the-universe",Platonismo
A thinking man never be a party man.,Friedrich Nietzsche,politics,Niilismo / Existencialismo (precursor)
"The power of love, as the basis of a State, has never been tried.",Ralph Waldo Emerson,"government, love, politics, state",Transcendentalismo
"The enjoyment of power inevitably corrupts the judgement of reason, and perverts its liberty.",Immanuel Kant,"history, politics",Idealismo Transcendental
"But I was brought up on convent morals and paternal nationalism, I was getting bogged down in contradictions.",Simone de Beauvoir,"nationalism, politics, religion, upbringing",Existencialismo / Feminismo
"Once made equal to man, woman becomes his superior.",Socrates,"equality, superiority, women",Filosofia Socrática
Why one man rather than another? It was odd. You find yourself involved with a fellow for life just because he was the one that you met when you were nineteen.,Simone de Beauvoir,"courtship, women",Existencialismo / Feminismo
"A real man wants two things: danger and play. Therefore he wants woman as the most dangerous plaything. Man shall be educated for war, and woman for the recreation of the warrior: all else is folly.",Friedrich Nietzsche,"man, recreation, woman, women",Niilismo / Existencialismo (precursor)
"Among such persons are those women who transform themselves into just that function of a man that is but weakly developed in him, and then become his purse, or his politics, or his social intercourse. Such beings maintain themselves best when they insert themselves in an alien organism; if they do not succeed they become vexed, irritated, and eat themselves up.",Friedrich Nietzsche,"man, men, woman, women",Niilismo / Existencialismo (precursor)
Let him who would move the world first move himself.,Socrates,"change, self-determination, self-development",Filosofia Socrática
Act as if what you do makes a difference. It does.,William James,"actions, attributed, change",Pragmatismo
To change one’s life: 1. Start immediately. 2. Do it flamboyantly. 3. No exceptions.,William James,change,Pragmatismo
